                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.308,                 1.7178,                 1.3148,                 0.8197,                0.65979,                0.76368,                0.51156,                 1.2347,                 1.1087,                 1.1393,               0.070062,              0.0033264,              0.0033264
                      1,                 1.1383,                 1.1883,                   1.19,                 0.8243,                  0.698,                0.78984,                0.51699,                 1.2756,                 1.0323,                  1.154,               0.039898,              0.0064949,              0.0064949
                      2,                 1.2357,                 1.2475,                 1.2295,                0.68842,                0.63837,                0.68449,                0.43144,                 1.3605,                 1.3364,                 1.2005,              0.0095678,              0.0094984,              0.0094984
                      3,                 1.3196,                 1.3267,                 1.2764,                0.76911,                0.62288,                0.68122,                0.43628,                 1.4045,                 1.3625,                 1.2388,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.3274,                 1.3332,                 1.2702,                0.72886,                0.63557,                0.67903,                0.42363,                 1.4141,                  1.262,                 1.2141,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.2928,                  1.283,                 1.2557,                0.81805,                0.65473,                0.74107,                0.48651,                 1.3037,                 1.1407,                 1.1808,                0.00901,                0.00901,                0.00901
                      6,                 1.2586,                 1.2217,                 1.2459,                0.82702,                0.68116,                0.77675,                0.51749,                 1.2916,                 1.0615,                 1.1479,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.2414,                 1.1742,                 1.2348,                0.82776,                0.69075,                0.78705,                0.51415,                 1.2851,                 1.0436,                 1.1691,               0.008515,               0.008515,               0.008515
                      8,                 1.2251,                  1.154,                 1.2234,                0.77019,                0.66361,                 0.7377,                0.48968,                 1.2938,                 1.1186,                 1.1576,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.2071,                  1.114,                 1.2109,                0.85441,                0.73005,                0.82243,                  0.565,                 1.1883,                0.92717,                 1.0986,                0.00802,                0.00802,                0.00802
                     10,                 1.1664,                 1.0711,                 1.1945,                0.84076,                 0.7385,                0.82749,                0.57058,                 1.1738,                0.90981,                  1.093,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.1585,                 1.0386,                 1.1908,                0.87354,                0.75455,                0.85026,                0.59253,                 1.1528,                0.88212,                 1.0792,               0.007525,               0.007525,               0.007525
                     12,                 1.1315,                 1.0087,                 1.1739,                0.86516,                0.78287,                0.86594,                 0.6112,                 1.1243,                0.87353,                 1.0648,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.1202,                0.97918,                 1.1691,                0.88538,                0.78374,                 0.8746,                0.61787,                 1.1093,                0.81822,                 1.0587,                0.00703,                0.00703,                0.00703
                     14,                 1.0878,                0.94349,                 1.1546,                0.89451,                0.80291,                0.88728,                0.63132,                  1.104,                0.80815,                 1.0597,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.0926,                0.93311,                 1.1479,                0.86086,                0.79857,                0.88033,                 0.6247,                 1.1026,                0.77434,                 1.0535,               0.006535,               0.006535,               0.006535
                     16,                 1.0722,                0.92438,                 1.1466,                0.90857,                0.79333,                0.88321,                0.63486,                 1.0812,                0.81183,                 1.0503,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.0574,                0.89845,                 1.1416,                0.89311,                0.81937,                 0.8947,                0.64374,                 1.0507,                0.73774,                 1.0338,                0.00604,                0.00604,                0.00604
                     18,                  1.043,                0.87336,                 1.1352,                0.89106,                0.82969,                0.90155,                0.65471,                 1.0459,                 0.7313,                 1.0198,              0.0057925,              0.0057925,              0.0057925
                     19,                  1.032,                0.86225,                 1.1254,                0.90963,                0.83927,                0.91186,                0.66505,                 1.0231,                0.69097,                 1.0068,               0.005545,               0.005545,               0.005545
                     20,                 1.0219,                0.84683,                 1.1253,                0.89755,                0.82786,                0.90526,                 0.6641,                 1.0325,                0.72014,                 1.0144,              0.0052975,              0.0052975,              0.0052975
                     21,                0.99554,                0.82692,                 1.1031,                0.90444,                0.85038,                0.91754,                0.67991,                0.99558,                 0.6798,                 1.0015,                0.00505,                0.00505,                0.00505
                     22,                  1.004,                0.82236,                  1.115,                0.89641,                0.85104,                0.91218,                0.67726,                0.99147,                0.66757,                0.99507,              0.0048025,              0.0048025,              0.0048025
                     23,                0.98981,                0.80421,                 1.1068,                0.91657,                0.85018,                0.92007,                0.68553,                0.98726,                0.65267,                  1.001,               0.004555,               0.004555,               0.004555
                     24,                0.97742,                0.78664,                 1.1009,                0.91709,                0.85578,                0.92357,                0.69409,                0.96627,                0.63634,                0.99036,              0.0043075,              0.0043075,              0.0043075
                     25,                0.97774,                0.77271,                 1.1013,                  0.913,                0.87721,                0.93728,                0.70229,                0.95018,                0.61532,                0.97639,                0.00406,                0.00406,                0.00406
                     26,                0.96833,                 0.7651,                 1.0944,                0.92026,                0.87762,                0.93412,                0.70186,                0.94507,                0.59796,                0.97498,              0.0038125,              0.0038125,              0.0038125
                     27,                0.94843,                0.75036,                 1.0896,                0.93179,                0.87799,                0.93985,                0.71693,                0.91992,                0.58236,                0.97282,               0.003565,               0.003565,               0.003565
                     28,                0.93817,                  0.738,                 1.0875,                0.92726,                0.88404,                0.93981,                0.72313,                0.91271,                0.58119,                0.95986,              0.0033175,              0.0033175,              0.0033175
                     29,                0.93104,                0.72131,                 1.0827,                0.93683,                0.88811,                0.94506,                0.72407,                0.91246,                0.59484,                0.96024,                0.00307,                0.00307,                0.00307
                     30,                 0.8903,                 0.6197,                 1.0239,                0.93555,                0.88492,                0.94479,                0.72591,                0.90616,                0.58639,                0.96426,              0.0028225,              0.0028225,              0.0028225
                     31,                0.86897,                 0.5975,                 1.0185,                0.94035,                0.89806,                0.94876,                0.73893,                0.88707,                0.56052,                0.95748,               0.002575,               0.002575,               0.002575
                     32,                0.86571,                0.57017,                 1.0182,                0.94003,                0.90341,                0.95456,                0.73887,                0.88187,                0.54609,                 0.9563,              0.0023275,              0.0023275,              0.0023275
                     33,                0.84182,                0.55885,                 1.0039,                0.94342,                0.90374,                0.95631,                0.74276,                0.88164,                0.54161,                0.94502,                0.00208,                0.00208,                0.00208
                     34,                0.82872,                0.53499,                0.99517,                0.94417,                0.91386,                0.96333,                0.75451,                0.86231,                0.51772,                0.94341,              0.0018325,              0.0018325,              0.0018325
                     35,                 0.8211,                0.51624,                0.99622,                0.94616,                0.92319,                 0.9664,                0.76165,                0.84453,                0.50225,                0.93344,               0.001585,               0.001585,               0.001585
                     36,                0.79574,                0.49936,                 0.9823,                0.95307,                0.92321,                0.96789,                0.76666,                0.82851,                0.49524,                0.92872,              0.0013375,              0.0013375,              0.0013375
                     37,                0.78156,                0.48082,                0.98321,                0.95412,                0.93015,                0.96962,                0.77316,                0.81962,                0.48072,                0.92281,                0.00109,                0.00109,                0.00109
                     38,                0.77203,                0.47225,                0.97616,                0.95522,                0.92741,                0.97102,                0.77424,                0.80463,                0.47271,                0.91689,              0.0008425,              0.0008425,              0.0008425
                     39,                0.76981,                0.46151,                0.97697,                0.96439,                0.93133,                0.97268,                0.78061,                0.79476,                0.46389,                0.91352,               0.000595,               0.000595,               0.000595
